StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q25,Q28,Q31,Q34,Q5,Q7,Q8,Q8_4_TEXT,Q35,Q35_7_TEXT,Q9,Q11,Q12,Q10,Q1,Condition,Q35_7_TEXT - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thank you for interest in participating in this survey.
DESCRIPTION: Proof Media and Red Hook Media Lab are currently exploring the relationship between media and civic participation.

 

COMPENSATION: For your participation in this survey, you will receive $0.16,  which is dependent on your successful completion of the survey. 
CONFIDENTIALITY: Your Mechanical Turk Worker ID will be used to distribute payment to you but will not be stored with the research data we collect from you.  Please be aware that your MTurk Worker ID can potentially be linked to information about you on your Amazon public profile page, depending on the settings you have for your Amazon profile.  We will not be accessing any personally identifying information about you that you may have put on your Amazon public profile page.

 

Your participation and responses will remain confidential. Any reports and presentations about the findings from this study will not include your name or any other information that could identify you.  

 

SUBJECT’S RIGHTS: Your participation is voluntary.  You may stop participating at any time by closing the browser window or the program to withdraw from the study. Partial data will not be analyzed. 


For additional questions about this research, you may contact:  

 

 •  info@redhookmedialab.com

  Please indicate, in the box below, that you are at least 18 years old, have read and understand this consent form, and you agree to participate in this online research study and answer questions honestly.",The previous image features:,The previous image features:,The previous image features:,The previous image features:,What is your 5 digit zip code?,How old are you in years?,What is your gender? - Selected Choice,What is your gender? - Other - Please specify - Text,I identify my ethnicity as: - Selected Choice,I identify my ethnicity as: - Other - Please specify - Text,"If someone offers you a drink, are you more likely to ask for:",Do you intend to vote in the midterm elections on November 6?,Did you vote in the 2016 presidential election?,"Politically, do you:",Are you a registered voter?,Condition,Q35_7_TEXT - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID25""}","{""ImportId"":""QID28""}","{""ImportId"":""QID31""}","{""ImportId"":""QID34""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_4_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID35_7_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID10""}","{""ImportId"":""QID1""}","{""ImportId"":""Condition""}","{""ImportId"":""QID35_7_TEXT_25d866b2df574f71841405a4Topics""}"
2018-10-24 15:49:38,2018-10-24 15:50:17,IP Address,73.88.71.9,100,38,True,2018-10-24 15:50:17,R_1dt5N4kUXyLIJDK,,,,,32.852996826171875,-79.991302490234375,anonymous,EN,Yes- I consent,A Woman,,,,29418,29,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,1,
2018-10-24 15:49:58,2018-10-24 15:50:19,IP Address,216.129.126.126,100,21,True,2018-10-24 15:50:19,R_tYSSfk2xzlPB32N,,,,,37.388702392578125,-122.018798828125,anonymous,EN,Yes- I consent,,,,,94015,30,Male,,Asian,,Water,Yes,Yes,Lean Democrat,Yes,5,
2018-10-24 15:49:50,2018-10-24 15:50:31,IP Address,69.140.226.116,100,40,True,2018-10-24 15:50:32,R_3IaSx5h7oybCMGr,,,,,38.8589935302734375,-77.099700927734375,anonymous,EN,Yes- I consent,,A Woman,,,22207,34,Male,,Caucasian,,Water,Yes,Yes,Lean Republican,Yes,2,
2018-10-24 15:50:13,2018-10-24 15:50:38,IP Address,162.231.57.35,100,24,True,2018-10-24 15:50:38,R_2CNU0IwGG4YJSXs,,,,,32.76629638671875,-117.129302978515625,anonymous,EN,Yes- I consent,A Woman,,,,92104,34,Male,,Caucasian,,Water,Maybe,No,Somewhere in-between,Yes,1,
2018-10-24 15:50:14,2018-10-24 15:50:49,IP Address,70.182.154.45,100,35,True,2018-10-24 15:50:50,R_1PRSUQqGoE0D5sj,,,,,30.428497314453125,-91.019500732421875,anonymous,EN,Yes- I consent,,A Woman,,,70802,29,Male,,Caucasian,,Hoppy microbrew,Yes,Yes,Lean Democrat,Yes,2,
2018-10-24 15:49:42,2018-10-24 15:50:59,IP Address,107.4.125.131,100,77,True,2018-10-24 15:50:59,R_ABwN95MMfeHOQqB,,,,,43.794403076171875,-83.00250244140625,anonymous,EN,Yes- I consent,,,A Man,,48441,54,Male,,Caucasian,,Water,Yes,Yes,Lean Republican,Yes,3,
2018-10-24 15:50:04,2018-10-24 15:51:02,IP Address,96.227.244.170,100,57,True,2018-10-24 15:51:02,R_1K3HGjyZ1f3b13E,,,,,40.1544952392578125,-75.38089752197265625,anonymous,EN,Yes- I consent,,,,,19403,28,Male,,Asian,,Iced Tea,No,No,Lean Republican,No,5,
2018-10-24 15:50:17,2018-10-24 15:51:03,IP Address,108.78.185.134,100,45,True,2018-10-24 15:51:03,R_BrdypWVOmDyN8VX,,,,,38.631805419921875,-90.61419677734375,anonymous,EN,Yes- I consent,,,A Man,,63138,32,Male,,Caucasian,,Hoppy microbrew,No,No,Somewhere in-between,Yes,3,
