StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,Q37,Q7,Q8,Q8_4_TEXT,Q35,Q35_7_TEXT,Q11,Q10,Q1,Condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thank you for interest in participating in this survey.
DESCRIPTION: Red Hook Media Lab is currently exploring the relationship between media and civic participation.

 

COMPENSATION: For your participation in this survey, you will receive $0.15,  which is dependent on your successful completion of the survey. 
CONFIDENTIALITY:  Please be aware that your MTurk Worker ID can potentially be linked to information about you on your Amazon public profile page, depending on the settings you have for your Amazon profile.  We will not be accessing any personally identifying information about you that you may have put on your Amazon public profile page.

 

Your participation and responses will remain confidential. Any reports and presentations about the findings from this study will not include your name or any other information that could identify you.  

 

SUBJECT’S RIGHTS: Your participation is voluntary.  You may stop participating at any time by closing the browser window or the program to withdraw from the study. Partial data will not be analyzed. 


For additional questions about this research, you may contact:  

 

 •  info@redhookmedialab.com

  Please indicate, in the box below, that you are at least 18 years old, have read and understand this consent form, and you agree to participate in this online research study and answer questions honestly.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How many different people we featured in the previous video?,How old are you in years?,What is your gender? - Selected Choice,What is your gender? - Other - Please specify - Text,I identify my ethnicity as: - Selected Choice,I identify my ethnicity as: - Other - Please specify - Text,"Do you intend to vote in the midterm elections on November 6, 2018?","Politically, do you:",Are you a registered voter?,Condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID36_FIRST_CLICK""}","{""ImportId"":""QID36_LAST_CLICK""}","{""ImportId"":""QID36_PAGE_SUBMIT""}","{""ImportId"":""QID36_CLICK_COUNT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_4_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID35_7_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID10""}","{""ImportId"":""QID1""}","{""ImportId"":""Condition""}"
2018-11-01 13:24:09,2018-11-01 13:24:29,IP Address,135.84.223.214,100,20,True,2018-11-01 13:24:29,R_3rOjYzHSmUN35v4,,,,,41.8719940185546875,-103.66190338134765625,anonymous,EN,Yes- I consent,,,,,,26,Male,,Caucasian,,Maybe,Lean Democrat,Yes,2
2018-11-01 13:24:00,2018-11-01 13:24:32,IP Address,68.204.162.117,100,32,True,2018-11-01 13:24:32,R_11132SAkZQCZAQS,,,,,28.3134002685546875,-80.731903076171875,anonymous,EN,Yes- I consent,,,,,,26,Female,,Caucasian,,No,Lean Democrat,No,2
2018-11-01 13:24:13,2018-11-01 13:24:36,IP Address,67.11.50.189,100,23,True,2018-11-01 13:24:36,R_1H64784azhYi31x,,,,,29.893096923828125,-98.685699462890625,anonymous,EN,Yes- I consent,,,,,,31,Male,,Caucasian,,Yes,Lean Democrat,Yes,2
2018-11-01 13:24:17,2018-11-01 13:24:36,IP Address,128.205.102.12,100,19,True,2018-11-01 13:24:37,R_29vurk2Sgk7xWCe,,,,,42.768402099609375,-78.8871002197265625,anonymous,EN,Yes- I consent,,,,,,36,Male,,Caucasian,,Yes,Lean Democrat,Yes,2
2018-11-01 13:24:11,2018-11-01 13:24:47,IP Address,99.87.240.53,100,36,True,2018-11-01 13:24:47,R_1oASMjjAGQitmUH,,,,,34.1060028076171875,-84.5117034912109375,anonymous,EN,Yes- I consent,,,,,,32,Male,,Caucasian,,Maybe,Somewhere in-between,No,2
2018-11-01 13:24:20,2018-11-01 13:24:50,IP Address,216.49.121.116,100,29,True,2018-11-01 13:24:50,R_SHmg99ihp44a2BP,,,,,38.2978973388671875,-86.95330047607421875,anonymous,EN,Yes- I consent,,,,,,31,Female,,Caucasian,,Yes,Lean Republican,Yes,2
2018-11-01 13:24:25,2018-11-01 13:24:51,IP Address,23.123.107.108,100,25,True,2018-11-01 13:24:51,R_xu3WOCruADUwvGp,,,,,29.6313018798828125,-82.58139801025390625,anonymous,EN,Yes- I consent,,,,,,37,Female,,Caucasian,,Yes,Lean Republican,Yes,2
2018-11-01 13:24:28,2018-11-01 13:24:51,IP Address,75.97.41.155,100,22,True,2018-11-01 13:24:51,R_8wBnXjW9ZrqyPrr,,,,,40.8321990966796875,-76.738800048828125,anonymous,EN,Yes- I consent,,,,,,43,Female,,Caucasian,,Yes,Somewhere in-between,Yes,2
2018-11-01 13:23:49,2018-11-01 13:24:54,IP Address,68.41.82.191,100,64,True,2018-11-01 13:24:54,R_2rTni7Ox5cDDuED,,,,,42.944000244140625,-85.62129974365234375,anonymous,EN,Yes- I consent,39.776,40.37,41.497,2,3,22,Male,,Caucasian,,Yes,Somewhere in-between,Yes,1
2018-11-01 13:24:15,2018-11-01 13:25:01,IP Address,35.136.179.95,100,46,True,2018-11-01 13:25:01,R_2BfdxgXEUFVdciq,,,,,39.768402099609375,-86.15799713134765625,anonymous,EN,Yes- I consent,,,,,,65,Female,,Caucasian,,Yes,Lean Republican,Yes,2
2018-11-01 13:24:42,2018-11-01 13:25:03,IP Address,165.155.120.6,100,21,True,2018-11-01 13:25:03,R_CdeEo19njwMJqJX,,,,,40.675994873046875,-73.92060089111328125,anonymous,EN,Yes- I consent,,,,,,30,Male,,Caucasian,,Yes,Lean Democrat,Yes,2
2018-11-01 13:24:51,2018-11-01 13:25:09,IP Address,64.107.60.194,100,17,True,2018-11-01 13:25:09,R_3KrVAr3YutjfLmf,,,,,41.6403961181640625,-88.06960296630859375,anonymous,EN,Yes- I consent,,,,,,33,Female,,Caucasian,,Yes,Lean Republican,Yes,2
2018-11-01 13:24:52,2018-11-01 13:25:19,IP Address,207.144.25.221,100,26,True,2018-11-01 13:25:19,R_PFpEE1yhSlxAHmh,,,,,33.5529937744140625,-81.71939849853515625,anonymous,EN,Yes- I consent,,,,,,30,Male,,Caucasian,,Yes,Lean Republican,Yes,2
2018-11-01 13:24:17,2018-11-01 13:25:20,IP Address,99.203.1.164,100,62,True,2018-11-01 13:25:20,R_3QDCMEGdFOMYTQv,,,,,40.0532073974609375,-83.022003173828125,anonymous,EN,Yes- I consent,,,,,,23,Female,,Caucasian,,Yes,Lean Democrat,Yes,2
