StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,Q37,Q43_First Click,Q43_Last Click,Q43_Page Submit,Q43_Click Count,Q44,Q7,Q8,Q8_4_TEXT,Q35,Q35_7_TEXT,Q14,Q15,Q16,Condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thank you for interest in participating in this survey.
DESCRIPTION: Red Hook Media Lab is currently exploring the relationship between media and civic participation.

 

COMPENSATION: For your participation in this survey, you will receive $0.15,  which is dependent on your successful completion of the survey. 
CONFIDENTIALITY:  Please be aware that your MTurk Worker ID can potentially be linked to information about you on your Amazon public profile page, depending on the settings you have for your Amazon profile.  We will not be accessing any personally identifying information about you that you may have put on your Amazon public profile page.

 

Your participation and responses will remain confidential. Any reports and presentations about the findings from this study will not include your name or any other information that could identify you.  

 

SUBJECT’S RIGHTS: Your participation is voluntary.  You may stop participating at any time by closing the browser window or the program to withdraw from the study. Partial data will not be analyzed. 


For additional questions about this research, you may contact:  

 

 •  info@redhookmedialab.com

  Please indicate, in the box below, that you are at least 18 years old, have read and understand this consent form, and you agree to participate in this online research study and answer questions honestly.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How many different people we featured in the previous video?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How many different people we featured in the previous video?,How old are you in years?,What is your gender? - Selected Choice,What is your gender? - Other - Please specify - Text,I identify my ethnicity as: - Selected Choice,I identify my ethnicity as: - Other - Please specify - Text,"Do you intend to vote in the midterm elections on November 6, 2018?","Politically, do you:",Are you a registered voter?,Condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID36_FIRST_CLICK""}","{""ImportId"":""QID36_LAST_CLICK""}","{""ImportId"":""QID36_PAGE_SUBMIT""}","{""ImportId"":""QID36_CLICK_COUNT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID43_FIRST_CLICK""}","{""ImportId"":""QID43_LAST_CLICK""}","{""ImportId"":""QID43_PAGE_SUBMIT""}","{""ImportId"":""QID43_CLICK_COUNT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_4_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID35_7_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""Condition""}"
2018-11-02 09:53:33,2018-11-02 09:54:36,IP Address,184.248.215.249,100,63,True,2018-11-02 09:54:36,R_3kKPrhuaRUu2WV1,,,,,40.84649658203125,-73.84100341796875,anonymous,EN,Yes- I consent,9.868,9.868,41.558,1,3,,,,,,37,Other - Please specify,asch,Other - Please specify,asch,Yes,Lean Democrat,Yes,1
2018-11-03 13:35:11,2018-11-03 13:36:05,IP Address,24.151.192.196,100,53,True,2018-11-03 13:36:05,R_2b0IBSObH3mr7XH,,,,,34.7982025146484375,-84.908203125,anonymous,EN,Yes- I consent,,,,,,,,,,,56,Male,,Caucasian,,Yes,Lean Democrat,Yes,3
2018-11-03 14:00:17,2018-11-03 14:01:29,IP Address,76.245.15.246,100,72,True,2018-11-03 14:01:30,R_1jQi5naslAjR0oY,,,,,42.0525054931640625,-87.89060211181640625,anonymous,EN,Yes- I consent,,,,,,56.654,56.963,57.845,2,1,23,Male,,Caucasian,,Maybe,Lean Democrat,Yes,2
2018-11-03 14:19:31,2018-11-03 14:21:19,IP Address,50.27.10.252,100,107,True,2018-11-03 14:21:19,R_UFlgiu9ro0jx6eZ,,,,,33.5924072265625,-101.93669891357421875,anonymous,EN,Yes- I consent,4.399,40.069,40.951,4,3,,,,,,28,Female,,Caucasian,,Yes,Somewhere in-between,Yes,1
2018-11-03 14:22:25,2018-11-03 14:22:55,IP Address,24.61.204.167,100,29,True,2018-11-03 14:22:55,R_1IGzH8J3p66U9Xk,,,,,42.6343994140625,-71.29830169677734375,anonymous,EN,Yes- I consent,,,,,,,,,,,52,Male,,Caucasian,,Maybe,Somewhere in-between,Yes,3
2018-11-03 14:18:54,2018-11-03 14:26:31,IP Address,108.30.21.41,100,456,True,2018-11-03 14:26:31,R_1M0bgFr02L5Glo3,,,,,40.8701934814453125,-73.8495025634765625,anonymous,EN,Yes- I consent,,,,,,,,,,,58,Female,,"Black/African,Caucasian,Native American",,Yes,Lean Democrat,Yes,3
2018-11-03 14:41:37,2018-11-03 14:42:54,IP Address,35.133.192.13,100,77,True,2018-11-03 14:42:54,R_215FyNael9ZzE6C,,,,,34.6945037841796875,-82.278900146484375,anonymous,EN,Yes- I consent,4.448,29.267,32.43,3,3,,,,,,36,Male,,"Caucasian,Native American",,Yes,Lean Democrat,Yes,1
2018-11-03 14:43:36,2018-11-03 14:44:21,IP Address,71.56.135.96,100,44,True,2018-11-03 14:44:21,R_1IXIBtQOrsveozB,,,,,45.5142059326171875,-122.498504638671875,anonymous,EN,Yes- I consent,25.752,25.752,27.471,1,3,,,,,,45,Male,,Caucasian,,Yes,Lean Democrat,Yes,1
